,data,cliente,id_produto,descricao,quantidade,valor_und,forma_pag
0,04/06/2025,000001,504,CONJ.COLAR/PULSEIRA MIÇANGA PINGENTE PERSONAGENS INFANTIL,"1,00","20,00",CARTÃO DÉBITO
1,04/06/2025,000001,255,SACOLA DE PAPEL P/ PRESENTE STITCH,"1,00","8,00",CARTÃO DÉBITO
2,04/06/2025,000001,785,PIRANHA STITCH,"1,00","16,99",CARTÃO DÉBITO
3,04/06/2025,000001,680,SQUISHY STITCH,"1,00","22,00",CARTÃO DÉBITO
4,04/06/2025,000001,72,PORTA CARTAO C/ CORDÃO STITCH,"1,00","11,99",CARTÃO DÉBITO
5,04/06/2025,000001,74,CHAVEIRO MEDIO STITCH,"1,00","18,00",CARTÃO DÉBITO
6,04/06/2025,000001,926,LAÇO INFANTIL JUNINO,"1,00","25,00",CARTÃO DÉBITO
7,04/06/2025,000001,686,EMBALAGEM SACO,"1,00","2,00",CARTÃO DÉBITO
8,04/06/2025,000001,639,BRACELETE BIJOUX,"1,00","30,00",DINHEIRO
9,04/06/2025,000001,360,PÓ FADA ILUMINADOR LOVE RAIN,"1,00","9,99",PIX
10,04/06/2025,000001,471,KIT TIC TAC INFANTIL PEQ C/3 UND,"1,00","6,00",PIX
11,04/06/2025,000001,520,BICO PATO METALC/2,"1,00","10,00",PIX
12,04/06/2025,000001,775,PIRANHA METAL STRASS GRANDE,"1,00","18,00",PIX
13,04/06/2025,000001,460,LAÇO INFANTIL COM 2,"2,00","12,00",CARTÃO DÉBITO
14,04/06/2025,000001,487,BICO PATO C/3 INFANTIL,"1,00","9,00",CARTÃO DÉBITO
15,04/06/2025,000001,488,BICO PATO C/2 INFANTIL,"1,00","6,99",CARTÃO DÉBITO
16,04/06/2025,000001,306,GLOSS LIP VOLUMOSO MAX LOVE,"2,00","10,00",PIX
17,04/06/2025,000001,628,BRINCO BIJOUX,"1,00","15,00",PIX
18,04/06/2025,000001,401,LAÇO SEDA GRANDE,"1,00","22,00",DINHEIRO
19,04/06/2025,000001,599,PIJAMA INFANTIL MASCULINO,"1,00","29,99",CARTÃO CRÉDITO
20,04/06/2025,000001,727,BRINCO FOLHEADO DOURADO,"1,00","8,00",CARTÃO DÉBITO
21,04/06/2025,000001,400,LAÇO COURO FAKE,"1,00","12,99",DINHEIRO
22,04/06/2025,000001,399,LAÇO CREPE,"1,00","13,00",DINHEIRO
23,04/06/2025,000001,809,ANEL PARA TRANÇA,"2,00","3,00",DINHEIRO
24,04/06/2025,000001,663,APLIQUE C/ MINI PIRANHA P/ CABELO,"1,00","10,00",DINHEIRO
25,04/06/2025,000001,550,PRESILHAS COM STRASS INDIVIDUAL,"1,00","12,00",PIX
26,05/06/2025,000001,571,BOLSA TRANSVESAL,"1,00","40,00",CARTÃO DÉBITO
27,05/06/2025,000001,571,BOLSA TRANSVESAL,"1,00","40,00",CARTÃO DÉBITO
28,05/06/2025,000001,632,BRINCO BIJOUX,"1,00","24,99",CARTÃO DÉBITO
29,05/06/2025,000001,285,BATOM MATTE BELLE ANGEL (PROMOÇÃO),"1,00","5,00",CARTÃO DÉBITO
30,05/06/2025,000001,694,KIT ÓCULOS/PRESILHA/LAÇO INFANTIL,"2,00","19,99",não checado
31,05/06/2025,000001,686,EMBALAGEM SACO,"2,00","2,00",não checado
32,05/06/2025,000001,488,BICO PATO C/2 INFANTIL,"1,00","6,99",CARTÃO DÉBITO
33,05/06/2025,000001,457,LAÇO INFANTIL INDIVIDUAL,"1,00","13,00",CARTÃO DÉBITO
34,05/06/2025,000001,460,LAÇO INFANTIL COM 2,"1,00","12,00",PIX
35,05/06/2025,000001,509,ESPONJA COQUE PENTEADO PEQUENA,"1,00","6,00",PIX
36,05/06/2025,000001,775,PIRANHA METAL STRASS GRANDE,"1,00","18,00",PIX
37,05/06/2025,000001,472,TIC TAC KIT C/6,"1,00","12,00",PIX
38,05/06/2025,000001,307,BATOM MATTE 30 HORAS MAX LOVE,"1,00","10,00",PIX
39,05/06/2025,000001,753,LIP OIL STITCH SWETT,"1,00","10,00",PIX
40,05/06/2025,000001,285,BATOM MATTE BELLE ANGEL (PROMOÇÃO),"1,00","5,00",PIX
41,05/06/2025,000001,18,GLOSS STITCH,"1,00","17,99",CARTÃO DÉBITO
42,05/06/2025,000001,783,CARTELA DE ADESIVOS PERSONAGENS,"1,00","7,00",CARTÃO DÉBITO
43,05/06/2025,000001,193,LAPIS GRAFITE HB FABER CASTELL UND,"1,00","1,99",CARTÃO DÉBITO
44,05/06/2025,000001,183,BORRACHA MONSTRINHO KAZ,"1,00","4,00",CARTÃO DÉBITO
45,05/06/2025,000001,898,LIP GLOSS STITCH SPINE,"1,00","15,00",CARTÃO DÉBITO
46,05/06/2025,000001,303,BLUSH JELLY TINT,"1,00","15,00",CARTÃO DÉBITO
47,05/06/2025,000001,737,XUXINHA MEDIA KIT INFANTIL,"1,00","4,00",CARTÃO DÉBITO
48,05/06/2025,000001,903,LIP GLOSS MATTE MISS ROYAL,"1,00","10,00",CARTÃO DÉBITO
49,05/06/2025,000001,902,BATOM 5D LIPSTICK MISS ROYAL,"1,00","12,00",CARTÃO DÉBITO
50,05/06/2025,000001,926,LAÇO INFANTIL JUNINO,"1,00","25,00",CARTÃO DÉBITO
51,05/06/2025,000001,542,PIRANHA METAL STRASS MÉDIA,"1,00","16,00",CARTÃO CRÉDITO
52,05/06/2025,000001,939,CORRENTE TERÇO FOLHEADO DOURADO,"1,00","15,00",CARTÃO CRÉDITO
53,05/06/2025,000001,888,EMBALAGEM PAPEL COM ALÇA PP,"1,00","2,00",CARTÃO CRÉDITO
54,05/06/2025,000001,631,BRINCO BIJOUX,"1,00","18,00",não checado
55,05/06/2025,000001,914,BATOM MATTE LIQUIDO SARAH'S BEAUTY,"1,00","9,99",não checado
