data,cliente,id_produto,descricao,quantidade,valor_und,forma_pag
05/08/2025,1.0,861,AGUA MICELAR STITCH,"1,00","10,00",CARTÃO DÉBITO
05/08/2025,1.0,863,HIDRATANTE CORPO E MÃOS STITCH,"1,00","15,00",CARTÃO DÉBITO
05/08/2025,1.0,862,SABONETE LIQUIDO FACIAL STITCH,"1,00","10,00",CARTÃO DÉBITO
06/08/2025,1.0,826,COLAR CORDÃO AMIZADE C/2,"1,00","8,00",PIX DIRETO
06/08/2025,1.0,746,KIT MANICURE,"1,00","35,00",CARTÃO DÉBITO
06/08/2025,1.0,732,KIT TIC TAC ORGANICO GRANDE C/2,"1,00","8,00",CARTÃO DÉBITO
06/08/2025,1.0,776,KIT PIRANHA INFANTIL C/2 UND PROMOÇÃO,"1,00","6,00",CARTÃO DÉBITO
06/08/2025,1.0,521,BICO PATO METAL C/4,"1,00","12,99",CARTÃO DÉBITO
06/08/2025,1.0,537,PIRANHA PEQUENA,"1,00","5,99",CARTÃO DÉBITO
06/08/2025,1.0,315,LAPIS SOBRANCELHA SAFIRA,"1,00","5,00",CARTÃO DÉBITO
06/08/2025,1.0,914,BATOM MATTE LIQUIDO SARAH'S BEAUTY,"1,00","10,00",CARTÃO DÉBITO
06/08/2025,1.0,34,MARCA TEXTO EM GEL STITCH PROMOÇÃO,"1,00","15,00",DINHEIRO
06/08/2025,1.0,1100,LABUBU CHAVEIRO SEM ROUPA,"1,00","60,00",PIX
06/08/2025,1.0,1103,POTE MINI XUXINHA SIMPLES INFANTIL,"2,00","10,00",PIX
06/08/2025,1.0,592,MOCHILA INDIVIDUAL INFANTIL PERSONAGENS PROMOÇÃO,"1,00","110,00",PIX
06/08/2025,1.0,953,BOBBIE GOODS CAPIVARA GRANDE,"1,00","30,00",PIX
06/08/2025,1.0,494,ELASTICO BOX OU BABY SIZE,"1,00","14,99",PIX
06/08/2025,1.0,1069,SQUISHY GATO GRANDE,"1,00","21,99",PIX
